"country","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","total_cup_points"
"Papua New Guinea",8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75
"Ethiopia",7.89636363636364,8.00909090909091,7.89386363636364,8.04363636363636,7.92409090909091,7.97227272727273,9.87840909090909,9.95431818181818,9.86340909090909,8.04863636363636,85.4840909090909
"Japan",7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67
"United States",7.834,7.992,7.85,7.935,7.842,7.817,9.866,9.933,9.5,7.867,84.433
"Kenya",7.7868,7.7824,7.7132,7.866,7.7264,7.8004,9.9732,9.9732,9.9732,7.7132,84.3096
"Panama",7.6675,7.625,7.605,7.705,7.5825,7.875,10,10,10,7.645,83.7075
"Uganda",7.88416666666667,7.75277777777778,7.6225,7.70861111111111,7.72,7.6625,10,10,9.36333333333333,7.73861111111111,83.4519444444445
"Colombia",7.64815217391304,7.5925,7.51869565217391,7.55603260869565,7.60934782608696,7.70728260869565,9.93478260869565,9.94565217391304,9.9529347826087,7.61853260869565,83.0846739130435
"El Salvador",7.6747619047619,7.65428571428571,7.56714285714286,7.59047619047619,7.60666666666667,7.71142857142857,9.93619047619048,9.93619047619048,9.80857142857143,7.56333333333333,83.0528571428571
"China",7.64125,7.625625,7.484375,7.578125,7.57375,7.548125,9.958125,9.958125,9.91625,7.646875,82.9275
"Rwanda",7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,82.83
"Costa Rica",7.67137254901961,7.53725490196078,7.53450980392157,7.57392156862745,7.53745098039216,7.63725490196078,9.85627450980392,9.86921568627451,9.90843137254902,7.66352941176471,82.7890196078431
"Thailand",7.4840625,7.528125,7.4734375,7.5971875,7.5521875,7.5240625,9.9375,9.9584375,9.958125,7.5596875,82.57375
"Indonesia",7.649,7.573,7.4155,7.491,7.6315,7.52,9.933,9.9665,9.9665,7.4165,82.5655
"Peru",7.693,7.658,7.541,7.699,7.802,7.666,9.533,9.466,9.866,7.601,82.526
"Brazil",7.55310606060606,7.57356060606061,7.4405303030303,7.51143939393939,7.54454545454545,7.53151515151515,9.88492424242424,9.85348484848485,9.94939393939394,7.56295454545455,82.4059090909091
"Tanzania, United Republic Of",7.57125,7.42975,7.425,7.5,7.479,7.46975,10,10,10,7.49325,82.3695
"Taiwan",7.5336,7.4636,7.39546666666667,7.41546666666667,7.45,7.426,9.89306666666667,9.98213333333333,9.9644,7.47666666666667,82.0013333333333
"Zambia",7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,7.25,81.92
"Guatemala",7.54486187845304,7.48900552486188,7.26685082872928,7.59640883977901,7.47574585635359,7.46988950276243,9.8524861878453,9.88933701657459,9.87088397790055,7.39110497237569,81.8465745856354
"Laos",7.50333333333333,7.5,7.28,7.30666666666667,7.36333333333333,7.41666666666667,10,10,10,7.47,81.8333333333333
"Burundi",7.415,7.46,7.25,7.415,7.29,7.415,10,10,10,7.58,81.83
"United States (Hawaii)",7.57246575342466,7.57643835616438,7.5027397260274,7.61547945205479,7.62575342465753,7.6441095890411,9.47890410958904,9.56150684931507,9.65246575342466,7.58876712328767,81.8204109589041
"United States (Puerto Rico)",7.6475,7.54,7.48,7.6025,7.665,7.6475,9,9.665,9.8325,7.6475,81.7275
"Malawi",7.56727272727273,7.38727272727273,7.25727272727273,7.40818181818182,7.33818181818182,7.37181818181818,10,10,10,7.37909090909091,81.7118181818182
"Vietnam",7.38625,7.375,7.1975,7.3625,7.5425,7.4575,9.66625,9.91625,9.58375,7.72,81.20875
"India",7.69785714285714,7.61857142857143,7.56642857142857,7.63642857142857,7.66142857142857,7.67285714285714,9.90428571428571,9.95214285714286,7.61928571428571,7.75571428571429,81.0828571428571
"Mexico",7.45758474576271,7.37902542372881,7.22805084745763,7.42834745762712,7.38046610169491,7.32868644067797,9.74406779661017,9.65813559322034,9.97177966101695,7.31470338983051,80.8900847457627
"Honduras",7.43269230769231,7.37326923076923,7.19730769230769,7.37269230769231,7.37846153846154,7.30173076923077,9.83326923076923,9.82057692307692,9.84615384615385,7.32788461538462,80.8836538461538
"Philippines",7.364,7.232,7.302,7.266,7.298,7.4,9.866,10,9.866,7.234,80.834
"Myanmar",7.30375,7.3325,7.125,7.40625,7.27,7.13375,10,10,10,7.1775,80.75
"Mauritius",7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,80.5
"Nicaragua",7.32923076923077,7.31692307692308,7.20192307692308,7.26653846153846,7.40076923076923,7.27846153846154,9.79461538461539,9.76923076923077,9.82038461538462,7.27884615384615,80.4580769230769
"Ecuador",7.58333333333333,7.64,7.55333333333333,7.69333333333333,6.02666666666667,6.97,10,10,8.72333333333333,8.02666666666667,80.22
"Cote d?Ivoire",7.42,7.25,6.83,7,7.33,7.08,9.33,10,10,7.08,79.33
"Haiti",7.15333333333333,6.99833333333333,7.11166666666667,7.12666666666667,7.27666666666667,7.05666666666667,9.77666666666667,8.555,9.11166666666667,7.01333333333333,77.18
